group,item,sentence,question,left_answer,right_answer,correct_answer,sentence_voice,question_voice,verb_type,verb,s_voice_log_odds,q_voice_log_odds,se_log_odds
B,31,That's the consultant that the client is really impressed by.,Who impresses someone?,the client,the consultant,the consultant,passive,active,objexp,impress,0.522189382416306,-0.522189382416306,0.211024764515893
C,31,That's the client that the consultant really respects.,Who is respected?,the client,the consultant,the client,active,passive,subjexp,respect,2.47560425712569,-2.47560425712569,0.524782402170613
D,31,That's the client that the consultant really impresses.,Who is impressed?,the client,the consultant,the client,active,passive,objexp,impress,-0.522189382416306,0.522189382416306,0.211024764515893
E,31,That's the client that the consultant really respects.,Who respects someone?,the consultant,the client,the consultant,active,active,subjexp,respect,2.47560425712569,2.47560425712569,0.524782402170613
F,31,That's the client that the consultant really impresses.,Who impresses someone?,the consultant,the client,the consultant,active,active,objexp,impress,-0.522189382416306,-0.522189382416306,0.211024764515893
G,31,That's the consultant that the client is really respected by.,Who is respected?,the client,the consultant,the client,passive,passive,subjexp,respect,-2.47560425712569,-2.47560425712569,0.524782402170613
H,31,That's the consultant that the client is really impressed by.,Who is impressed?,the client,the consultant,the client,passive,passive,objexp,impress,0.522189382416306,0.522189382416306,0.211024764515893
I,31,That's the consultant that the client is really respected by.,Who respects someone?,the consultant,the client,the consultant,passive,active,subjexp,respect,-2.47560425712569,2.47560425712569,0.524782402170613
J,31,That's the consultant that the client is really impressed by.,Who impresses someone?,the consultant,the client,the consultant,passive,active,objexp,impress,0.522189382416306,-0.522189382416306,0.211024764515893
K,31,That's the client that the consultant really respects.,Who is respected?,the consultant,the client,the client,active,passive,subjexp,respect,2.47560425712569,-2.47560425712569,0.524782402170613
L,31,That's the client that the consultant really impresses.,Who is impressed?,the consultant,the client,the client,active,passive,objexp,impress,-0.522189382416306,0.522189382416306,0.211024764515893
M,31,That's the client that the consultant really respects.,Who respects someone?,the client,the consultant,the consultant,active,active,subjexp,respect,2.47560425712569,2.47560425712569,0.524782402170613
N,31,That's the client that the consultant really impresses.,Who impresses someone?,the client,the consultant,the consultant,active,active,objexp,impress,-0.522189382416306,-0.522189382416306,0.211024764515893
O,31,That's the consultant that the client is really respected by.,Who is respected?,the consultant,the client,the client,passive,passive,subjexp,respect,-2.47560425712569,-2.47560425712569,0.524782402170613
P,31,That's the consultant that the client is really impressed by.,Who is impressed?,the consultant,the client,the client,passive,passive,objexp,impress,0.522189382416306,0.522189382416306,0.211024764515893
A,32,That's the agent that the rock&nbsp;star really impresses.,Who is impressed?,the agent,the rock&nbsp;star,the agent,active,passive,objexp,impress,-0.522189382416306,0.522189382416306,0.211024764515893
B,32,That's the agent that the rock&nbsp;star really respects.,Who is respected?,the agent,the rock&nbsp;star,the agent,active,passive,subjexp,respect,2.47560425712569,-2.47560425712569,0.524782402170613
C,32,That's the rock&nbsp;star that the agent is really impressed by.,Who impresses someone?,the agent,the rock&nbsp;star,the rock&nbsp;star,passive,active,objexp,impress,0.522189382416306,-0.522189382416306,0.211024764515893
D,32,That's the rock&nbsp;star that the agent is really respected by.,Who respects someone?,the agent,the rock&nbsp;star,the rock&nbsp;star,passive,active,subjexp,respect,-2.47560425712569,2.47560425712569,0.524782402170613
E,32,That's the rock&nbsp;star that the agent is really impressed by.,Who is impressed?,the rock&nbsp;star,the agent,the agent,passive,passive,objexp,impress,0.522189382416306,0.522189382416306,0.211024764515893
F,32,That's the rock&nbsp;star that the agent is really respected by.,Who is respected?,the rock&nbsp;star,the agent,the agent,passive,passive,subjexp,respect,-2.47560425712569,-2.47560425712569,0.524782402170613
G,32,That's the agent that the rock&nbsp;star really impresses.,Who impresses someone?,the agent,the rock&nbsp;star,the rock&nbsp;star,active,active,objexp,impress,-0.522189382416306,-0.522189382416306,0.211024764515893
H,32,That's the agent that the rock&nbsp;star really respects.,Who respects someone?,the agent,the rock&nbsp;star,the rock&nbsp;star,active,active,subjexp,respect,2.47560425712569,2.47560425712569,0.524782402170613
I,32,That's the agent that the rock&nbsp;star really impresses.,Who is impressed?,the rock&nbsp;star,the agent,the agent,active,passive,objexp,impress,-0.522189382416306,0.522189382416306,0.211024764515893
J,32,That's the agent that the rock&nbsp;star really respects.,Who is respected?,the rock&nbsp;star,the agent,the agent,active,passive,subjexp,respect,2.47560425712569,-2.47560425712569,0.524782402170613
K,32,That's the rock&nbsp;star that the agent is really impressed by.,Who impresses someone?,the rock&nbsp;star,the agent,the rock&nbsp;star,passive,active,objexp,impress,0.522189382416306,-0.522189382416306,0.211024764515893
L,32,That's the rock&nbsp;star that the agent is really respected by.,Who respects someone?,the rock&nbsp;star,the agent,the rock&nbsp;star,passive,active,subjexp,respect,-2.47560425712569,2.47560425712569,0.524782402170613
M,32,That's the rock&nbsp;star that the agent is really impressed by.,Who is impressed?,the agent,the rock&nbsp;star,the agent,passive,passive,objexp,impress,0.522189382416306,0.522189382416306,0.211024764515893
N,32,That's the rock&nbsp;star that the agent is really respected by.,Who is respected?,the agent,the rock&nbsp;star,the agent,passive,passive,subjexp,respect,-2.47560425712569,-2.47560425712569,0.524782402170613
O,32,That's the agent that the rock&nbsp;star really impresses.,Who impresses someone?,the rock&nbsp;star,the agent,the rock&nbsp;star,active,active,objexp,impress,-0.522189382416306,-0.522189382416306,0.211024764515893
P,32,That's the agent that the rock&nbsp;star really respects.,Who respects someone?,the rock&nbsp;star,the agent,the rock&nbsp;star,active,active,subjexp,respect,2.47560425712569,2.47560425712569,0.524782402170613
